category,system_id,chemical_family,model,component_count,affected_component,increased_component,affected_smiles,increased_smiles,affected_name,increased_name,temperature_k,pressure_kpa,composition,d_log_gamma_i_d_closed_x_j,d_log_gamma_i_d_temperature_k,response_direction,selected_seed,selection_partition
model-inferred positive deviation,2c_ae514b5a938c4d83d1c9,alcohol/polyol + alkane/cycloalkane,full,2,2,2,CCO,CCO,乙醇,乙醇,323.25,784.427978515625,0.50000000;0.50000000,-2.479886531829834,-0.0005658009322360158,increase j; remove from others proportionally,1,test
model-inferred negative deviation,2c_26042ad21e725d8f2224,halogenated + nitrogen-containing,full,2,1,1,C(C(C(F)F)(F)F)O,C(C(C(F)F)(F)F)O,"2,2,3,3-四氟-1-丙醇","2,2,3,3-四氟-1-丙醇",404.125,100.28985595703125,0.50000000;0.50000000,-0.1408495306968689,-0.0026232164818793535,increase j; remove from others proportionally,1,test
model-inferred negative deviation,2c_26042ad21e725d8f2224,halogenated + nitrogen-containing,full,2,1,2,C(C(C(F)F)(F)F)O,CN(C)C=O,"2,2,3,3-四氟-1-丙醇","N,N-二甲基甲酰胺",404.125,100.28985595703125,0.50000000;0.50000000,0.1408495306968689,-0.0026232164818793535,increase j; remove from others proportionally,1,test
model-inferred negative deviation,2c_26042ad21e725d8f2224,halogenated + nitrogen-containing,full,2,2,1,CN(C)C=O,C(C(C(F)F)(F)F)O,"N,N-二甲基甲酰胺","2,2,3,3-四氟-1-丙醇",404.125,100.28985595703125,0.50000000;0.50000000,0.1408495157957077,0.00023164153390098363,increase j; remove from others proportionally,1,test
model-inferred negative deviation,2c_26042ad21e725d8f2224,halogenated + nitrogen-containing,full,2,2,2,CN(C)C=O,CN(C)C=O,"N,N-二甲基甲酰胺","N,N-二甲基甲酰胺",404.125,100.28985595703125,0.50000000;0.50000000,-0.1408495157957077,0.00023164153390098363,increase j; remove from others proportionally,1,test
complete-subsystem ternary,3c_61bfd4ccc52903a74083,alcohol/polyol + alcohol/polyol + ether/carbonyl,full,3,1,1,CCCO,CCCO,1-丙醇,1-丙醇,366.4,108.08290100097656,0.33333333;0.33333333;0.33333333,-0.7606057524681091,-0.000303034350508824,increase j; remove from others proportionally,1,test
complete-subsystem ternary,3c_61bfd4ccc52903a74083,alcohol/polyol + alcohol/polyol + ether/carbonyl,full,3,1,2,CCCO,CCCOCCC,1-丙醇,二丙醚,366.4,108.08290100097656,0.33333333;0.33333333;0.33333333,0.528124213218689,-0.000303034350508824,increase j; remove from others proportionally,1,test
complete-subsystem ternary,3c_61bfd4ccc52903a74083,alcohol/polyol + alcohol/polyol + ether/carbonyl,full,3,1,3,CCCO,CCOCCO,1-丙醇,2-乙氧基乙醇,366.4,108.08290100097656,0.33333333;0.33333333;0.33333333,0.23248156905174255,-0.000303034350508824,increase j; remove from others proportionally,1,test
complete-subsystem ternary,3c_61bfd4ccc52903a74083,alcohol/polyol + alcohol/polyol + ether/carbonyl,full,3,2,1,CCCOCCC,CCCO,二丙醚,1-丙醇,366.4,108.08290100097656,0.33333333;0.33333333;0.33333333,0.5281240940093994,-0.0005605321493931115,increase j; remove from others proportionally,1,test
complete-subsystem ternary,3c_61bfd4ccc52903a74083,alcohol/polyol + alcohol/polyol + ether/carbonyl,full,3,2,2,CCCOCCC,CCCOCCC,二丙醚,二丙醚,366.4,108.08290100097656,0.33333333;0.33333333;0.33333333,-0.8614908456802368,-0.0005605321493931115,increase j; remove from others proportionally,1,test
complete-subsystem ternary,3c_61bfd4ccc52903a74083,alcohol/polyol + alcohol/polyol + ether/carbonyl,full,3,2,3,CCCOCCC,CCOCCO,二丙醚,2-乙氧基乙醇,366.4,108.08290100097656,0.33333333;0.33333333;0.33333333,0.33336666226387024,-0.0005605321493931115,increase j; remove from others proportionally,1,test
complete-subsystem ternary,3c_61bfd4ccc52903a74083,alcohol/polyol + alcohol/polyol + ether/carbonyl,full,3,3,1,CCOCCO,CCCO,2-乙氧基乙醇,1-丙醇,366.4,108.08290100097656,0.33333333;0.33333333;0.33333333,0.2324814647436142,-0.00023415895702783018,increase j; remove from others proportionally,1,test
complete-subsystem ternary,3c_61bfd4ccc52903a74083,alcohol/polyol + alcohol/polyol + ether/carbonyl,full,3,3,2,CCOCCO,CCCOCCC,2-乙氧基乙醇,二丙醚,366.4,108.08290100097656,0.33333333;0.33333333;0.33333333,0.33336663246154785,-0.00023415895702783018,increase j; remove from others proportionally,1,test
complete-subsystem ternary,3c_61bfd4ccc52903a74083,alcohol/polyol + alcohol/polyol + ether/carbonyl,full,3,3,3,CCOCCO,CCOCCO,2-乙氧基乙醇,2-乙氧基乙醇,366.4,108.08290100097656,0.33333333;0.33333333;0.33333333,-0.5658480525016785,-0.00023415895702783018,increase j; remove from others proportionally,1,test
complete-subsystem ternary,3c_61bfd4ccc52903a74083,alcohol/polyol + alcohol/polyol + ether/carbonyl,pairwise-only,3,1,1,CCCO,CCCO,1-丙醇,1-丙醇,366.4,108.4810791015625,0.33333333;0.33333333;0.33333333,-0.8386120796203613,-0.002084533218294382,increase j; remove from others proportionally,1,test
complete-subsystem ternary,3c_61bfd4ccc52903a74083,alcohol/polyol + alcohol/polyol + ether/carbonyl,pairwise-only,3,1,2,CCCO,CCCOCCC,1-丙醇,二丙醚,366.4,108.4810791015625,0.33333333;0.33333333;0.33333333,0.6231368184089661,-0.002084533218294382,increase j; remove from others proportionally,1,test
complete-subsystem ternary,3c_61bfd4ccc52903a74083,alcohol/polyol + alcohol/polyol + ether/carbonyl,pairwise-only,3,1,3,CCCO,CCOCCO,1-丙醇,2-乙氧基乙醇,366.4,108.4810791015625,0.33333333;0.33333333;0.33333333,0.21547529101371765,-0.002084533218294382,increase j; remove from others proportionally,1,test
complete-subsystem ternary,3c_61bfd4ccc52903a74083,alcohol/polyol + alcohol/polyol + ether/carbonyl,pairwise-only,3,2,1,CCCOCCC,CCCO,二丙醚,1-丙醇,366.4,108.4810791015625,0.33333333;0.33333333;0.33333333,0.6231368780136108,-0.004737104754894972,increase j; remove from others proportionally,1,test
complete-subsystem ternary,3c_61bfd4ccc52903a74083,alcohol/polyol + alcohol/polyol + ether/carbonyl,pairwise-only,3,2,2,CCCOCCC,CCCOCCC,二丙醚,二丙醚,366.4,108.4810791015625,0.33333333;0.33333333;0.33333333,-1.6395138502120972,-0.004737104754894972,increase j; remove from others proportionally,1,test
complete-subsystem ternary,3c_61bfd4ccc52903a74083,alcohol/polyol + alcohol/polyol + ether/carbonyl,pairwise-only,3,2,3,CCCOCCC,CCOCCO,二丙醚,2-乙氧基乙醇,366.4,108.4810791015625,0.33333333;0.33333333;0.33333333,1.0163769721984863,-0.004737104754894972,increase j; remove from others proportionally,1,test
complete-subsystem ternary,3c_61bfd4ccc52903a74083,alcohol/polyol + alcohol/polyol + ether/carbonyl,pairwise-only,3,3,1,CCOCCO,CCCO,2-乙氧基乙醇,1-丙醇,366.4,108.4810791015625,0.33333333;0.33333333;0.33333333,0.21547521650791168,-0.005518159829080105,increase j; remove from others proportionally,1,test
complete-subsystem ternary,3c_61bfd4ccc52903a74083,alcohol/polyol + alcohol/polyol + ether/carbonyl,pairwise-only,3,3,2,CCOCCO,CCCOCCC,2-乙氧基乙醇,二丙醚,366.4,108.4810791015625,0.33333333;0.33333333;0.33333333,1.0163769721984863,-0.005518159829080105,increase j; remove from others proportionally,1,test
complete-subsystem ternary,3c_61bfd4ccc52903a74083,alcohol/polyol + alcohol/polyol + ether/carbonyl,pairwise-only,3,3,3,CCOCCO,CCOCCO,2-乙氧基乙醇,2-乙氧基乙醇,366.4,108.4810791015625,0.33333333;0.33333333;0.33333333,-1.2318520545959473,-0.005518159829080105,increase j; remove from others proportionally,1,test
